movie_id,title,genre,description,director,cast
1,Drishyam,Thriller,"A father goes to extreme lengths to protect his family after his daughter commits a crime",Mohanlal,"Mohanlal, Meena, Ansiba Hassan"
2,Manichitrathazhu,Horror,"A newlywed couple moves into a haunted mansion with a dark past",Fazil,"Mohanlal, Shobana, Vincent"
3,Chemmeen,Romance,"A tragic love story between a fisherman and a woman from a different caste",Ramu Kariat,"Sathyan, Sheela, Kottarakkara Sreedharan Nair"
4,Thaniyavarthanam,Drama,"A teacher struggles with mental illness and societal stigma",Sibi Malayil,"Mohanlal, Shobana, Murali"
5,Chithram,Comedy,"A man pretends to be married to avoid his family's pressure",Priyadarshan,"Mohanlal, Ranjini, Kanaka"
6,Spadikam,Action,"A rebellious young man's journey from childhood to adulthood",Bhadran,"Mohanlal, Urvashi, Thilakan"
7,Kireedam,Drama,"A young man's life changes when he intervenes in a fight",Sibi Malayil,"Mohanlal, Parvathy, Thilakan"
8,Vadakkunokkiyantram,Comedy,"A man's obsession with his neighbor leads to comedic situations",Sathyan Anthikad,"Mohanlal, Shobana, Jagathy Sreekumar"
9,Devasuram,Action,"A powerful man's fall from grace and his path to redemption",I.V. Sasi,"Mohanlal, Revathi, Innocent"
10,Thoovanathumbikal,Romance,"A complex love triangle involving a man and two women",P. Padmarajan,"Mohanlal, Parvathy, Sumalatha"
11,Amrutham Gamaya,Drama,"A doctor's journey to find meaning in life",Hariharan,"Mohanlal, Geetha, Murali"
12,His Highness Abdullah,Comedy,"A comedy about mistaken identity and royal pretensions",Sathyan Anthikad,"Mohanlal, Shobana, Jagathy Sreekumar"
13,Thazhvaram,Drama,"A man's quest for revenge after his family is destroyed",Bharathan,"Mohanlal, Shobana, Murali"
14,Kaalapaani,Drama,"A story about prisoners in the Andaman Islands",Priyadarshan,"Mohanlal, Amrish Puri, Tabu"
15,Vanaprastham,Drama,"A Kathakali artist's struggle with his art and personal life",Shaji N. Karun,"Mohanlal, Suhasini, Venmani Haridas"
16,Meghamalhar,Romance,"A romantic drama set against the backdrop of monsoon",Kamal,"Mohanlal, Jayaram, Shobana"
17,Rajamanikyam,Comedy,"A man's transformation from a simpleton to a successful businessman",Anwar Rasheed,"Mammootty, Nedumudi Venu, Siddique"
18,Classmates,Drama,"A story about friendship and relationships during college days",Lal Jose,"Mammootty, Kavya Madhavan, Prasanna"
19,Thalappavu,Drama,"A police officer's struggle against corruption and injustice",Madhupal,"Mammootty, Lakshmi Gopalaswamy, Suresh Krishna"
20,Mayavi,Drama,"A story about a man who can see ghosts and spirits",Sibi Malayil,"Mammootty, Meera Jasmine, Innocent"
